fc_zscore_z16	fc_zscore_d15	grand_mean	gene
20.5654664640985	34.4602836884385	27.5128750762685	SLC1A2
20.0044309550493	30.8990202110367	25.451725583043	AQP4
23.8543504169183	22.8512654799158	23.3528079484171	GJA1
15.2083810223777	27.5296638167774	21.3690224195776	SLC1A3
10.2962583975406	31.584705328369	20.9404818629548	GPR98
17.3079187229463	22.9702501797655	20.1390844513559	ETNPPL
15.1589474274095	23.0958335473812	19.1273904873953	ATP1A2
13.8855910973079	20.6053499918709	17.2454705445894	F3
11.1618322245229	22.5870490542675	16.8744406393952	DDAH1
22.054522094484	10.4237209840177	16.2391215392508	SPARCL1
19.0706787148445	10.9174311399997	14.9940549274221	ATP1B2
7.62059825390742	22.3656745654066	14.993136409657	EZR
6.86843882415963	21.9527049312891	14.4105718777244	LRRC16A
9.8213798338099	17.3153807012787	13.5683802675443	SLCO1C1
13.4160552211614	13.2498511957051	13.3329532084332	GPM6A
7.43788467861005	19.1444572969192	13.2911709877646	BMPR1B
12.9363906700386	13.5673400421512	13.2518653560949	SLC4A4
12.2628760111005	14.0576158533339	13.1602459322172	EDNRB
17.2317746597258	8.97883617418981	13.1053054169578	CLU
18.6714532911177	7.15709745889075	12.9142753750042	CPE
11.0322553802048	13.4136941829254	12.2229747815651	NCAN
13.950596712973	9.98100947279153	11.9658030928822	GJB6
7.75435807012428	16.1162730254957	11.93531554781	PTPRZ1
8.36439123834122	14.8287760851962	11.5965836617687	SOX9
11.2062413260312	11.6257341578539	11.4159877419426	AGT
12.1865398403735	10.5074179043525	11.346978872363	RANBP3L
6.86392479763292	14.9832858036911	10.923605300662	PON2
6.05548503276746	15.6986101328989	10.8770475828332	STON2
10.5746143425323	11.0516143963362	10.8131143694342	C1ORF61
11.1822045068413	10.442800658111	10.8125025824762	PPAP2B
8.80884522994098	12.6148519983114	10.7118486141262	DTNA
2.11381739216956	19.2285240910285	10.671170741599	NHSL1
10.5777832346968	10.7314625532877	10.6546228939923	GLUD1
12.6570022552883	8.60673370743881	10.6318679813636	SLC39A12
15.2032009912952	5.79862271308629	10.5009118521908	NTRK2
9.2215477870312	11.695169457828	10.4583586224296	GABRA2
12.6224375420604	8.21687823409694	10.4196578880787	TUBB2B
12.1435940603647	8.44986264803469	10.2967283541997	SERPINE2
11.5297734359704	8.39727503461241	9.96352423529142	FAM107A
11.463151775852	8.1394103999624	9.8012810879072	MGST1
13.9310122489455	5.63444266572134	9.78272745733344	ALDOC
10.5369381959695	8.39690775522519	9.46692297559733	AHCYL1
5.07371448140358	13.307993096282	9.19085378884281	RYR3
9.13137224024899	9.02667606304231	9.07902415164565	CLDN10
8.58352535308294	9.33329227407666	8.9584088135798	TPD52L1
8.41732994969042	9.47394795670271	8.94563895319656	SLC25A18
6.7142221607853	11.0437877319035	8.87900494634442	ATP13A4
8.62269370220709	9.10065943200188	8.86167656710448	FGFR3
1.54617126240849	15.3608474421395	8.45350935227397	AASS
12.5883921972677	4.29396986481199	8.44118103103986	FAM171B
10.324845811116	6.348519892412	8.33668285176401	DKK3
10.896379508285	5.57671941912947	8.23654946370721	SCG3
10.7298409369729	5.53947889205679	8.13465991451486	PTN
12.6715150592034	3.58476247500516	8.12813876710427	CST3
7.08607784244081	9.12785297117103	8.10696540680592	SLC7A11
6.94385694027899	9.21078613450168	8.07732153739034	TIMP3
5.35373576859462	10.6954129443273	8.02457435646097	CKB
11.5584473528626	4.48195799751882	8.0202026751907	GLUL
3.79303533595136	12.032026532269	7.91253093411018	APC
7.12053489921377	8.62833333908388	7.87443411914882	DIO2
3.39574016983927	12.2682076060246	7.83197388793193	AXL
5.60552590035248	9.92975348388039	7.76763969211643	NRXN1
6.37575958321802	9.10776766529785	7.74176362425793	ID4
