fc_zscore_z16	fc_zscore_d15	grand_mean	gene
34.1059888760211	42.2436044724422	38.1747966742317	PLP1
24.2820203688215	20.5940531755441	22.4380367721828	MBP
14.5389979641944	27.4101187870231	20.9745583756087	TMEM144
24.3011735631281	14.9151061268529	19.6081398449905	TF
20.5182807686222	17.3682148490653	18.9432478088437	ERMN
18.6480408866722	18.0831897878619	18.365615337267	ENPP2
17.2992199610297	18.4381891826996	17.8687045718646	CLDND1
9.93826473464308	25.4150600454636	17.6766623900533	PIP4K2A
25.8983781719715	9.13978666085209	17.5190824164118	MOBP
22.797429985486	11.6554598304681	17.226444907977	APOD
16.9274236348725	16.9822731775017	16.9548484061871	QDPR
20.04522628159	11.2219296935744	15.6335779875822	CRYAB
11.3858332235876	19.3198135019763	15.3528233627819	SPP1
12.7470258244302	16.7228778045518	14.734951814491	CLDN11
18.7277361091822	10.1361871561687	14.4319616326754	OPALIN
15.0267319031078	13.735935035228	14.3813334691679	SLAIN1
15.4464568126145	12.7464364182563	14.0964466154354	EDIL3
11.1920050718783	16.2163403559176	13.7041727138979	CNP
14.5227380181776	12.1464779452806	13.3346079817291	SOX2-OT
9.44270479597347	16.8868269740363	13.1647658850049	SLC24A2
17.6690698505625	7.90940831028409	12.7892390804233	DBNDD2
16.5730102073408	8.56693873257889	12.5699744699598	CNDP1
9.52481231209186	14.8199846648752	12.1723984884835	SPOCK3
12.626314088193	11.5146129056451	12.070463496919	TTLL7
14.1752579383211	9.94098357994069	12.0581207591309	KIAA1598
16.2304710594713	6.69327450675888	11.4618727831151	BCAS1
12.190096889278	10.3655631374446	11.2778300133613	UGT8
5.24656546247652	16.8607559484779	11.0536607054772	CFL2
9.55620166496853	12.5509273224431	11.0535644937058	EVI2A
10.2668940139635	11.2344163219921	10.7506551679778	SCD
19.2525371986699	1.51669958004667	10.3846183893583	CDR1
15.9805832294182	4.2674757524765	10.1240294909474	RNASE1
13.5755167276019	6.58858357408583	10.0820501508439	ANLN
9.38143789934972	10.0663895281155	9.72391371373262	CD9
7.8535922245991	11.5621336511862	9.70786293789266	GOLGA7
9.79415951676511	8.89421678298334	9.34418814987423	STMN1
8.25928405015834	10.384691093183	9.32198757167067	GNAI1
8.75692194866556	9.7905365507326	9.27372924969908	ZEB2
9.93285049675313	8.3869347027202	9.15989259973666	FAM107B
5.84545744565879	12.3069830461962	9.07622024592748	SLC12A2
16.7740613761915	0.61572305571744	8.69489221595449	MTURN
13.2957042244069	3.91009006413773	8.60289714427232	LPAR1
10.4666906309935	6.72302410576355	8.5948573683785	PTP4A2
5.68199612528304	11.3597324441331	8.52086428470805	PEX5L
12.2218533417027	4.7221051657908	8.47197925374673	CAPN3
14.6572336259528	2.04017890188881	8.34870626392078	PKP4
12.7794688187792	3.76809222088497	8.27378051983207	PLLP
7.31858835626618	9.20813239692489	8.26336037659554	CCP110
11.4505893048345	4.77957123075413	8.11508026779432	SLCO1A2
6.85354632991144	9.36984319753409	8.11169476372276	CREB5
9.32418975782769	6.76642113054642	8.04530544418705	ANK3
7.17907784965316	8.76890085094725	7.97398935030021	PXK
3.50629509277741	12.1814831906901	7.84388914173375	SLC38A2
9.27123781986795	6.29554218403018	7.78339000194907	HIPK2
7.41311262375516	8.0580511442188	7.73558188398698	CARNS1
11.0331803729897	4.43492808534053	7.73405422916509	ATP1B1
4.80076440677168	10.6391337226171	7.71994906469441	LAMP2
10.1084688028409	5.31109144549173	7.70978012416631	TUBA1A
8.72718955372596	6.23593529413711	7.48156242393154	ANKS1B
12.9483647441504	1.93470334327754	7.44153404371395	TMEFF2
6.51442297491964	8.07266238201567	7.29354267846765	HHIP
3.97342540531068	10.5736748789019	7.27355014210628	GLTP
12.2726127857514	2.11958838170457	7.196100583728	PAIP2B
6.78322619746591	7.58316083172827	7.18319351459709	GLDN
7.65471356238485	6.33231950517726	6.99351653378105	FEZ1
11.1449661417994	2.72026414762217	6.9326151447108	SH3GL3
13.9831707270175	-0.165307166736564	6.90893178014048	TP53INP2
8.84929414173437	4.82160055865576	6.83544735019506	GPR37
5.95680880086864	7.5621454756283	6.75947713824847	DOCK10
11.679507301578	1.79868967325317	6.7390984874156	FOLH1
5.54038560666348	7.93209044304571	6.7362380248546	SGK1
4.55088351946899	8.86171049966559	6.70629700956729	NIPAL3
8.62134030954926	4.75763078240566	6.68948554597746	RAPGEF5
6.50667920019354	6.7911086744024	6.64889393729797	RASSF2
4.60485613386317	8.62074276273137	6.61279944829727	YWHAQ
8.73287548502945	4.40984540177159	6.57136044340052	FGF1
4.65860655665313	8.43606670148162	6.54733662906738	NECAB1
7.41754045638175	5.48610149814549	6.45182097726362	ABCA8
7.71219860335601	5.01182007707942	6.36200934021772	ST18
9.98796602041356	2.65319210771169	6.32057906406263	DYNC1LI2
5.64275861163446	6.9568057977611	6.29978220469778	PRUNE2
8.08358762492083	4.50323410044978	6.29341086268531	PTMA
4.61113467151934	7.93251677655608	6.27182572403771	MAL
7.91535603939143	4.49387326660964	6.20461465300053	PTPRD
7.60880443884585	4.77234946317089	6.19057695100837	SLC44A1
2.77690975830937	9.5969663582367	6.18693805827303	CA2
7.15986338082235	5.20692847801775	6.18339592942005	PLEKHH1
7.20706839667047	5.1261889915916	6.16662869413103	RHOU
7.11442738549489	4.89001529937146	6.00222134243318	APLP1
5.64488431634631	6.15729767267554	5.90109099451092	ERBB3
6.70112989756544	4.99914663750543	5.85013826753544	SLC31A2
6.53026956825754	5.13925003665733	5.83475980245743	ZDHHC9
2.31938631387902	9.33993237476167	5.82965934432034	BNIP3L
7.40200092501372	4.14191548563477	5.77195820532424	RPL30
6.46109689577992	4.96874842202304	5.71492265890148	TULP4
3.15031469361235	8.22011564532754	5.68521516946995	DOCK5
9.78686865643678	1.55594952755391	5.67140909199534	KLK6
5.06643705013776	6.25802378821744	5.6622304191776	TCEAL7
